DateTime,Measuredupscaled
09/08/2022 13:30,"420,54"
09/08/2022 13:45,"418,68"
09/08/2022 14:00,"390,96"
09/08/2022 14:15,"381,7"
09/08/2022 14:30,"383,83"
09/08/2022 14:45,"384,12"
09/08/2022 15:00,"397,85"
09/08/2022 15:15,"385,81"
09/08/2022 15:30,"380,38"
09/08/2022 15:45,"374,42"
09/08/2022 16:00,"378,82"
09/08/2022 16:15,"384,4"
09/08/2022 16:30,"385,85"
09/08/2022 16:45,"408,02"
09/08/2022 17:00,"411,42"
09/08/2022 17:15,"438,35"
09/08/2022 17:30,"450,57"
09/08/2022 17:45,"456,19"
09/08/2022 18:00,"487,54"
09/08/2022 18:15,"519,59"
09/08/2022 18:30,"567,06"
09/08/2022 18:45,"595,96"
09/08/2022 19:00,"622,75"
09/08/2022 19:15,"612,87"
09/08/2022 19:30,"611,09"
09/08/2022 19:45,"606,29"
09/08/2022 20:00,"582,08"
09/08/2022 20:15,"563,82"
09/08/2022 20:30,"551,44"
09/08/2022 20:45,"534,07"
09/08/2022 21:00,"532,87"
09/08/2022 21:15,"569,37"
09/08/2022 21:30,"610,38"
09/08/2022 21:45,"640,74"
09/08/2022 22:00,"676,48"
09/08/2022 22:15,"687,76"
09/08/2022 22:30,"676,16"
09/08/2022 22:45,"686,39"
09/08/2022 23:00,"714,15"
09/08/2022 23:15,"753,74"
09/08/2022 23:30,"766,36"
09/08/2022 23:45,"735,89"
10/08/2022 00:00,"720,6"
10/08/2022 00:15,"717,98"
10/08/2022 00:30,"711,18"
10/08/2022 00:45,"702,69"
10/08/2022 01:00,"713,15"
10/08/2022 01:15,"692,12"
10/08/2022 01:30,"683,24"
10/08/2022 01:45,"706,2"
10/08/2022 02:00,"737,08"
10/08/2022 02:15,"725,54"
10/08/2022 02:30,"690,97"
10/08/2022 02:45,"655,44"
10/08/2022 03:00,"633,57"
10/08/2022 03:15,"615,13"
10/08/2022 03:30,"602,08"
10/08/2022 03:45,"601,24"
10/08/2022 04:00,"601,21"
10/08/2022 04:15,"589,22"
10/08/2022 04:30,"592,17"
10/08/2022 04:45,"583,91"
10/08/2022 05:00,"585,76"
10/08/2022 05:15,"561,27"
10/08/2022 05:30,"546,37"
10/08/2022 05:45,"541,3"
10/08/2022 06:00,"520,99"
10/08/2022 06:15,"514,68"
10/08/2022 06:30,"508,76"
10/08/2022 06:45,"484,44"
10/08/2022 07:00,"447,49"
10/08/2022 07:15,"403,03"
10/08/2022 07:30,"371,71"
10/08/2022 07:45,"323,85"
10/08/2022 08:00,"253,73"
10/08/2022 08:15,"188,67"
10/08/2022 08:30,"134,08"
10/08/2022 08:45,"95,77"
10/08/2022 09:00,"65,37"
10/08/2022 09:15,"59,73"
10/08/2022 09:30,"44,35"
10/08/2022 09:45,"41,38"
10/08/2022 10:00,"40,41"
10/08/2022 10:15,"44,6"
10/08/2022 10:30,"51,79"
10/08/2022 10:45,"62,78"
10/08/2022 11:00,"77,7"
10/08/2022 11:15,"103,91"
10/08/2022 11:30,"140,21"
10/08/2022 11:45,"174,78"
10/08/2022 12:00,"209,07"
10/08/2022 12:15,"254,02"
10/08/2022 12:30,"279,18"
10/08/2022 12:45,"304,97"
10/08/2022 13:00,"309,34"
10/08/2022 13:15,"306,05"
10/08/2022 13:30,"291,79"
10/08/2022 13:45,"262,02"
10/08/2022 14:00,"266,31"
10/08/2022 14:15,"264,3"
10/08/2022 14:30,"258,79"
10/08/2022 14:45,"272,32"
10/08/2022 15:00,"256,09"
10/08/2022 15:15,"273,48"
10/08/2022 15:30,"286,69"
10/08/2022 15:45,"321,84"
10/08/2022 16:00,"331,22"
10/08/2022 16:15,"347,6"
10/08/2022 16:30,"363,58"
10/08/2022 16:45,"399,67"
10/08/2022 17:00,"379,31"
10/08/2022 17:15,"407,04"
10/08/2022 17:30,"429,3"
10/08/2022 17:45,"459,33"
10/08/2022 18:00,"463,24"
10/08/2022 18:15,"485,24"
10/08/2022 18:30,"500,32"
10/08/2022 18:45,"527,27"
10/08/2022 19:00,"524,49"
10/08/2022 19:15,"512,28"
10/08/2022 19:30,"517,01"
10/08/2022 19:45,"501,07"
10/08/2022 20:00,"479,81"
10/08/2022 20:15,"467,35"
10/08/2022 20:30,"483,64"
10/08/2022 20:45,"516,74"
10/08/2022 21:00,"535,87"
10/08/2022 21:15,"544,35"
10/08/2022 21:30,"578,66"
10/08/2022 21:45,"601,23"
10/08/2022 22:00,"600,77"
10/08/2022 22:15,"621,69"
10/08/2022 22:30,"648,03"
10/08/2022 22:45,"677,42"
10/08/2022 23:00,"730,56"
10/08/2022 23:15,"755,52"
10/08/2022 23:30,"769,69"
10/08/2022 23:45,"749,01"
